question,tag,answer
গুড আফটারনুন,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কেমন আছো?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কি খবর?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কেমন চলছে?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
হ্যাঁ আমি একজন মানুষের সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
কাস্টমার কেয়ার এ কানেক্ট করুন,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
এজেন্ট এর কাছে দেন,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমার সমস্যাটা জটিল, একজন এজেন্টের সাথে কথা বলতে হবে",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আমি একজন মানুষের সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
সরাসরি কথা বলতে চাই কারো সাথে,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
হ্যাঁ আমি বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আমি একজন এজেন্টের সাথে কথা বলবো,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমার একটা জরুরি প্রশ্ন আছে, এজেন্টের সাথে কথা বলবো",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
একজন বাস্তব এজেন্টের সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আপনার সুপারভাইজারের সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
সাপোর্ট টিমের কারো সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
এছাড়া অন্য কোন উপায় আছে কি?,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
কমপ্লেইন সেকশনে ট্রান্সফার করুন,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"রোবট না, আমি মানুষের সাথে কথা বলবো",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
এআই না এজেন্টের সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আর্জেন্ট বিষয়, এজেন্টের সাথে কথা বলতে হবে",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
একজন এজেন্ট কে ট্রান্সফার করুন,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমার কেইসটা স্পেশাল, এজেন্টের সাথে কথা বলতে চাই",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
এই বিষয়ে একজন এক্সপার্টের সাথে কথা বলা দরকার,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আপনার সঙ্গে আর কথা বলে কোনো লাভ নেই। আমি একজন এজেন্টের সাথে কথা বলবো,agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনি সাহায্য করতে পারছেন না, তাই আমি আমি একজন এজেন্টের সাথে কথা বলবো",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনার কাছ থেকে কোনো উপকার পাচ্ছি না, আমি একজন এজেন্টের সাথে কথা বলবো",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
এই কথোপকথন থেকে কোনো সমাধান আসছে না। আমি একজন এজেন্টের সাথে কথা বলবো,agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনি যেহেতু সাহায্য করতে পারছেন না, আমি একজন এজেন্টের সাথে কথা বলবো",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমি কথা বন্ধ করতে চাই, আমি একজন এজেন্টের সাথে কথা বলবো",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"এইভাবে কথা বলে কোনো লাভ হচ্ছে না, আমি একজন এজেন্টের সাথে কথা বলবো",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনি সাহায্য না করলে আর কথা বলে লাভ কী? আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"দুঃখিত, কিন্তু আমি এখন কথা বলতে চাই না। আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"যেহেতু আপনি সহায়তা করতে পারছেন না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনি যদি সাহায্য না করতে পারেন, তাহলে আর কথা বাড়িয়ে লাভ নেই। আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমি আর কথা চালিয়ে যেতে চাই না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমি আর কথা বলতে চাই না। আপনি কোনো সাহায্য করছেন না। আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তোমার সঙ্গে আর কথা বলে লাভ নেই। আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তুমি সাহায্য করতে পারছো না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"এভাবে কথা বলে কোনো ফল হচ্ছে না। আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তোমার কোনো উপকার পাচ্ছি না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তুমি তো সাহায্য করতে পারছো না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমার আর কথা বলার ইচ্ছা নেই, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তুমি কোনো কাজে আসছো না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তোমার থেকে কোনো সমাধান পাচ্ছি না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"এই কথাবার্তা থেকে কিছু হচ্ছে না, আমি একজন মানুষের সাথে কথা বলতে চাই, সরাসরি কথা বলতে চাই কারো সাথে",agent_calling,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আমি একজন লাইভ এজেন্ট এর সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
হেল্প ডেস্কে কানেক্ট করুন,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আমি কল সেন্টারে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
একজন এজেন্টকে দিন,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
টেকনিক্যাল টিমের কারো সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
এজেন্ট কে ট্রান্সফার করুন,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আমি একজন কল সেন্টার এজেন্ট এর সাথে কথা বলতে চাই,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আপনার সাথে কথা বলবো না। আমাকে একজন এজেন্টের সাথে যোগাযোগ করিয়ে দিন।,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমি আর কথা বলতে চাই না, আমাকে একজন এজেন্টের কাছে দিন।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"দয়া করে আমাকে কোনো এজেন্টের সঙ্গে সংযোগ করুন, আমি আপনার সাথে কথা বলছি না।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমি সরাসরি একজন এজেন্টের সঙ্গে কথা বলতে চাই, দয়া করে ট্রান্সফার করুন।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আপনার সাথে আর কথা বলার ইচ্ছা নেই, এখনই এজেন্টের কাছে ট্রান্সফার করুন।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"দয়া করে আমাকে একজন মানুষের সঙ্গে কথা বলার সুযোগ দিন, আপনি না।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমি বটের সাথে না, একজন এজেন্টের সাথে কথা বলব।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
আপনার পরিবর্তে আমি একজন এজেন্টের সহায়তা চাই।,agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমার দরকার একজন লাইভ এজেন্ট, আপনি ট্রান্সফার করে দিন।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"আমি আর কিছু বলতে চাই না, এখনই এজেন্টের কাছে নিয়ে যান।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
"প্লিজ, আমাকে একজন বাস্তব ব্যক্তির কাছে ট্রান্সফার করুন, আপনার সাথে না।",agent_calling,আপনার কলটি একজন লাইভ এজেন্ট এর কাছে ট্রান্সফার করা হচ্ছে।
অনুগ্রহ করে আবার বলুন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আমি আবার শুনতে চাই,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"আমি বুঝতে পারি নাই, আরেকবার বলেন প্লিজ",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"আবার বলেন ভাই, বুঝি নাই কিছুই",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আপু প্লিজ আরেকবার বলতে পারবেন আমি শুনতে পারি নাই,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আরেকবার বলুন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
অনুগ্রহপূর্বক আরেকবার বলতে হবে,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আরেকবার বলেন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আবার কন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
দয়া করে আবার বলুন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"আমি কিছুই বুঝতে পারিনি, আবার বলুন",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আরেকটু স্পষ্ট করে বলুন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
একটু আবার বলবেন?,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
দয়া করে আবার বলতে পারেন?,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"আমি কিছু শোনার চেষ্টা করছিলাম, কিন্তু শুনতে পারিনি, প্লিজ আবার বলুন",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"ভাই, একটু আবার বলুন",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আরেকবার রিক্যাপ দিন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আরেকবার রিপিট করুন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"আমি হালকা শুনেছি, আবার বলুন",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আরেকটু ক্লিয়ার করে বলুন প্লিজ,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"একটু ধীরে বলুন, বুঝতে পারছি না",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"মাফ করবেন, আমি ঠিক বুঝতে পারিনি",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
একটু আস্তে বলবেন?,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
আরেকটু বিস্তারিত বলুন,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"কিছুটা মিস করেছি, আবার বলবেন?",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
শেষের দিকটা আবার বলুন প্লিজ,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"সরি, আমার কানে আসে নাই",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
একটু জোরে বলবেন?,repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"আমার কাছে স্পষ্ট না, আবার বলুন",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
"শব্দটা কাটা গেছে, আবার বলবেন?",repeat_again,জি ধন্যবাদ। আমি উত্তরটি আবার বলছি।
